# Training data for MercuryClassifier. Format: label<TAB>text (one per line).
# label: 1/0, true/false or yes/no. Lines starting with '#' and blank lines are ignored.
# Point Classifier:DatasetPath at this file (or a bigger copy) to train from it on startup.
# GOAL: grow this to a few hundred rows PER class. Keep classes roughly balanced.
# Positives should include messages that are ABOUT retrograde Mercury even without the word.
#
# --- positive: explicit mention ---
1	меркурий снова ретроградный, держитесь
1	когда закончится ретроградный меркурий?
1	опять этот меркурий всё ломает
1	из-за меркурия техника глючит весь день
1	ретроградный меркурий начался, ждём проблем со связью
1	меркурий в ретрограде — не подписывайте договоры
1	меркурий директный наконец-то, выдыхаем
1	проверьте, меркурий ретроградит сейчас или нет
#
# --- positive: semantic, WITHOUT the word "меркурий" ---
1	опять техника барахлит как по расписанию, всё понятно
1	ретроград начался, вот и почта не доходит
1	планета снова пятится, жди сбоев в переписке
1	не подписывай важные бумаги на этой неделе, сам знаешь почему
1	связь опять пропадает — звёзды не в духе
1	период когда всё ломается и письма теряются, снова он
1	не время для сделок, ретроградный период же
#
# --- negative: unrelated chatter ---
0	привет, как дела?
0	во сколько сегодня встречаемся?
0	купил новый телефон, очень доволен
0	напомни мне позвонить в банк завтра
0	скинь пожалуйста презентацию к пятнице
0	сервер снова упал, чиню деплой
0	венера сегодня хорошо видна на закате
0	поезд опаздывает на двадцать минут
0	ретро-игры на выходных — кто со мной в денди?
0	этот ртутный градусник наконец выбросил, купил электронный
0	кот опять уронил цветок с подоконника
